,precip_norm,Location,forecast_day,latitude,longitude,name,State
74,-3.0196666666666663,US_FL,4,27.664827,-81.515754,Florida,FL
75,-1.9946666666666666,US_FL,5,27.664827,-81.515754,Florida,FL
76,-1.3326666666666669,US_FL,6,27.664827,-81.515754,Florida,FL
77,-0.819,US_FL,7,27.664827,-81.515754,Florida,FL
78,1.6796666666666664,US_FL,8,27.664827,-81.515754,Florida,FL
79,1.4806666666666668,US_FL,9,27.664827,-81.515754,Florida,FL
80,-0.487,US_GA,0,32.157435,-82.907123,Georgia,GA
81,-10.859333333333334,US_GA,3,32.157435,-82.907123,Georgia,GA
82,-10.258666666666668,US_GA,4,32.157435,-82.907123,Georgia,GA
83,-8.342333333333334,US_GA,5,32.157435,-82.907123,Georgia,GA
84,-5.187,US_GA,6,32.157435,-82.907123,Georgia,GA
85,-2.0326666666666666,US_GA,7,32.157435,-82.907123,Georgia,GA
86,4.403333333333332,US_GA,8,32.157435,-82.907123,Georgia,GA
87,4.417333333333334,US_GA,9,32.157435,-82.907123,Georgia,GA
88,-1.0159999999999998,US_HI,0,19.898682,-155.665857,Hawaii,HI
89,2.386333333333333,US_HI,3,19.898682,-155.665857,Hawaii,HI
90,-0.29966666666666664,US_HI,4,19.898682,-155.665857,Hawaii,HI
91,-0.7403333333333335,US_HI,5,19.898682,-155.665857,Hawaii,HI
92,-2.1313333333333326,US_HI,6,19.898682,-155.665857,Hawaii,HI
93,-2.5379999999999994,US_HI,7,19.898682,-155.665857,Hawaii,HI
94,9.103333333333333,US_HI,8,19.898682,-155.665857,Hawaii,HI
95,1.0443333333333333,US_HI,9,19.898682,-155.665857,Hawaii,HI
96,-0.4790000000000001,US_ID,0,44.068202,-114.742041,Idaho,ID
97,1.0546666666666669,US_ID,3,44.068202,-114.742041,Idaho,ID
98,5.291666666666666,US_ID,4,44.068202,-114.742041,Idaho,ID
99,1.3706666666666667,US_ID,5,44.068202,-114.742041,Idaho,ID
100,-0.8260000000000002,US_ID,6,44.068202,-114.742041,Idaho,ID
101,0.3806666666666667,US_ID,7,44.068202,-114.742041,Idaho,ID
102,-0.7430000000000001,US_ID,8,44.068202,-114.742041,Idaho,ID
103,-0.5183333333333333,US_ID,9,44.068202,-114.742041,Idaho,ID
104,-1.1600000000000001,US_IL,0,40.633125,-89.398528,Illinois,IL
105,-0.2713333333333333,US_IL,3,40.633125,-89.398528,Illinois,IL
106,-0.03233333333333338,US_IL,4,40.633125,-89.398528,Illinois,IL
107,5.234,US_IL,5,40.633125,-89.398528,Illinois,IL
108,4.106333333333334,US_IL,6,40.633125,-89.398528,Illinois,IL
109,2.181666666666667,US_IL,7,40.633125,-89.398528,Illinois,IL
110,-2.1790000000000003,US_IL,8,40.633125,-89.398528,Illinois,IL
111,-2.951,US_IL,9,40.633125,-89.398528,Illinois,IL
112,-3.0730000000000004,US_IN,0,40.551217,-85.602364,Indiana,IN
113,-1.1596666666666666,US_IN,3,40.551217,-85.602364,Indiana,IN
114,-1.2453333333333334,US_IN,4,40.551217,-85.602364,Indiana,IN
115,0.6386666666666669,US_IN,5,40.551217,-85.602364,Indiana,IN
116,5.769333333333334,US_IN,6,40.551217,-85.602364,Indiana,IN
117,9.542,US_IN,7,40.551217,-85.602364,Indiana,IN
118,2.012,US_IN,8,40.551217,-85.602364,Indiana,IN
119,-2.932,US_IN,9,40.551217,-85.602364,Indiana,IN
120,-0.043,US_IA,0,41.878003,-93.097702,Iowa,IA
121,0.062,US_IA,3,41.878003,-93.097702,Iowa,IA
122,0.40366666666666673,US_IA,4,41.878003,-93.097702,Iowa,IA
123,12.883333333333335,US_IA,5,41.878003,-93.097702,Iowa,IA
124,0.8876666666666668,US_IA,6,41.878003,-93.097702,Iowa,IA
